SignatureTime	PrioritizationTime	APFD	TimeToDetect
2.876924	0.016108	0.535398230088	6.732
2.876924	0.016108	0.101769911504	6.716
2.876924	0.016108	0.535398230088	6.732
2.876924	0.016108	0.659292035398	6.687
2.876924	0.016108	0.101769911504	6.716
2.876924	0.016108	0.650442477876	0.161
2.876924	0.016108	0.535398230088	6.732
2.876924	0.016108	0.79203539823	0.011
2.876924	0.016108	0.5	5.416
2.876924	0.016108	0.5	5.416
2.876924	0.016108	0.491150442478	6.62
2.876924	0.016108	0.491150442478	6.62
2.876924	0.016108	0.783185840708	6.71
2.876924	0.016108	0.977876106195	6.698
2.876924	0.016108	0.889380530973	5.059
2.876924	0.016108	0.535398230088	6.732
2.876924	0.016108	0.986725663717	11.794
2.876924	0.016108	0.216814159292	9.065
2.876924	0.016108	0.0398230088496	12.007
2.876924	0.016108	0.650442477876	0.161
2.876924	0.016108	0.110619469027	12.007
2.876924	0.016108	0.96017699115	0.251
2.876924	0.016108	0.296460176991	7.952
2.876924	0.016108	0.535398230088	6.732
2.876924	0.016108	0.800884955752	0.012
2.876924	0.016108	0.216814159292	9.065
2.876924	0.016108	0.535398230088	6.732
2.876924	0.016108	0.0398230088496	12.007
2.876924	0.016108	0.561946902655	0.075
2.876924	0.016108	0.977876106195	6.698
2.876924	0.016108	0.977876106195	6.698
2.876924	0.016108	0.0486725663717	11.8
2.876924	0.016108	0.146017699115	0.009
2.876924	0.016108	0.367256637168	9.106
2.876924	0.016108	0.836283185841	6.663
2.876924	0.016108	0.535398230088	6.732
2.876924	0.016108	0.836283185841	6.663
2.876924	0.016108	0.216814159292	9.065
2.876924	0.016108	0.650442477876	0.161
2.876924	0.019577	0.5	6.732
2.876924	0.019577	0.0929203539823	6.716
2.876924	0.019577	0.5	6.732
2.876924	0.019577	0.172566371681	6.687
2.876924	0.019577	0.0929203539823	6.716
2.876924	0.019577	0.137168141593	0.161
2.876924	0.019577	0.5	6.732
2.876924	0.019577	0.862831858407	0.011
2.876924	0.019577	0.650442477876	5.416
2.876924	0.019577	0.650442477876	5.416
2.876924	0.019577	0.340707964602	6.62
2.876924	0.019577	0.340707964602	6.62
2.876924	0.019577	0.641592920354	6.71
2.876924	0.019577	0.66814159292	6.698
2.876924	0.019577	0.384955752212	5.059
2.876924	0.019577	0.5	6.732
2.876924	0.019577	0.933628318584	11.794
2.876924	0.019577	0.526548672566	9.065
2.876924	0.019577	0.0398230088496	12.007
2.876924	0.019577	0.137168141593	0.161
2.876924	0.019577	0.0663716814159	12.007
2.876924	0.019577	0.305309734513	0.251
2.876924	0.019577	0.853982300885	7.952
2.876924	0.019577	0.5	6.732
2.876924	0.019577	0.446902654867	0.012
2.876924	0.019577	0.526548672566	9.065
2.876924	0.019577	0.5	6.732
2.876924	0.019577	0.0398230088496	12.007
