SignatureTime	PrioritizationTime	APFD	TimeToDetect
3.156072	0.076814	0.876	0.077
3.156072	0.076814	0.22	0.361
3.156072	0.076814	0.468	0.275
3.156072	0.076814	0.22	0.361
3.156072	0.076814	0.204	0.373
3.156072	0.076814	0.86	0.225
3.156072	0.076814	0.028	1.805
3.156072	0.076814	0.916	0.073
3.156072	0.076814	0.916	0.073
3.156072	0.076814	0.38	0.322
3.156072	0.076814	0.548	0.266
3.156072	0.076814	0.316	0.34
3.156072	0.076814	0.588	0.253
3.156072	0.076814	0.276	0.355
3.156072	0.076814	0.692	0.227
3.156072	0.076814	0.028	1.805
3.156072	0.076814	0.972	0.272
3.156072	0.076814	0.084	1.26
3.156072	0.076814	0.972	0.272
3.156072	0.076814	0.62	0.246
3.156072	0.076814	0.916	0.073
3.156072	0.076814	0.508	0.273
3.156072	0.076814	0.916	0.073
3.156072	0.076814	0.028	1.805
3.156072	0.076814	0.972	0.272
3.156072	0.076814	0.972	0.272
3.156072	0.076814	0.004	1.808
3.156072	0.052488	0.868	0.077
3.156072	0.052488	0.22	0.361
3.156072	0.052488	0.468	0.275
3.156072	0.052488	0.22	0.361
3.156072	0.052488	0.204	0.373
3.156072	0.052488	0.852	0.225
3.156072	0.052488	0.028	1.805
3.156072	0.052488	0.908	0.073
3.156072	0.052488	0.908	0.073
3.156072	0.052488	0.38	0.322
3.156072	0.052488	0.548	0.266
3.156072	0.052488	0.316	0.34
3.156072	0.052488	0.588	0.253
3.156072	0.052488	0.276	0.355
3.156072	0.052488	0.692	0.227
3.156072	0.052488	0.028	1.805
3.156072	0.052488	0.964	0.272
3.156072	0.052488	0.084	1.26
3.156072	0.052488	0.964	0.272
3.156072	0.052488	0.62	0.246
3.156072	0.052488	0.908	0.073
3.156072	0.052488	0.508	0.273
3.156072	0.052488	0.908	0.073
3.156072	0.052488	0.028	1.805
3.156072	0.052488	0.964	0.272
3.156072	0.052488	0.964	0.272
3.156072	0.052488	0.004	1.808
3.156072	0.046808	0.892	0.077
3.156072	0.046808	0.22	0.361
3.156072	0.046808	0.46	0.275
3.156072	0.046808	0.22	0.361
3.156072	0.046808	0.204	0.373
3.156072	0.046808	0.876	0.225
3.156072	0.046808	0.028	1.805
3.156072	0.046808	0.932	0.073
3.156072	0.046808	0.932	0.073
3.156072	0.046808	0.5	0.322
3.156072	0.046808	0.556	0.266
3.156072	0.046808	0.316	0.34
3.156072	0.046808	0.596	0.253
3.156072	0.046808	0.276	0.355
3.156072	0.046808	0.7	0.227
3.156072	0.046808	0.028	1.805
3.156072	0.046808	0.524	0.272
3.156072	0.046808	0.084	1.26
3.156072	0.046808	0.524	0.272
3.156072	0.046808	0.628	0.246
3.156072	0.046808	0.932	0.073
3.156072	0.046808	0.348	0.273
3.156072	0.046808	0.932	0.073
3.156072	0.046808	0.028	1.805
3.156072	0.046808	0.524	0.272
3.156072	0.046808	0.524	0.272
3.156072	0.046808	0.004	1.808
3.156072	0.022215	0.9	0.077
3.156072	0.022215	0.22	0.361
3.156072	0.022215	0.476	0.275
3.156072	0.022215	0.22	0.361
3.156072	0.022215	0.204	0.373
3.156072	0.022215	0.884	0.225
3.156072	0.022215	0.028	1.805
3.156072	0.022215	0.964	0.073
3.156072	0.022215	0.964	0.073
3.156072	0.022215	0.38	0.322
3.156072	0.022215	0.556	0.266
3.156072	0.022215	0.316	0.34
3.156072	0.022215	0.596	0.253
3.156072	0.022215	0.276	0.355
3.156072	0.022215	0.7	0.227
3.156072	0.022215	0.028	1.805
3.156072	0.022215	0.988	0.272
3.156072	0.022215	0.084	1.26
3.156072	0.022215	0.988	0.272
3.156072	0.022215	0.628	0.246
3.156072	0.022215	0.964	0.073
3.156072	0.022215	0.516	0.273
3.156072	0.022215	0.964	0.073
3.156072	0.022215	0.028	1.805
3.156072	0.022215	0.988	0.272
3.156072	0.022215	0.988	0.272
3.156072	0.022215	0.004	1.808
3.156072	0.014816	0.892	0.077
3.156072	0.014816	0.22	0.361
3.156072	0.014816	0.468	0.275
3.156072	0.014816	0.22	0.361
3.156072	0.014816	0.204	0.373
3.156072	0.014816	0.876	0.225
3.156072	0.014816	0.028	1.805
3.156072	0.014816	0.932	0.073
3.156072	0.014816	0.932	0.073
3.156072	0.014816	0.372	0.322
3.156072	0.014816	0.556	0.266
3.156072	0.014816	0.316	0.34
3.156072	0.014816	0.596	0.253
3.156072	0.014816	0.276	0.355
3.156072	0.014816	0.7	0.227
3.156072	0.014816	0.028	1.805
3.156072	0.014816	0.988	0.272
3.156072	0.014816	0.084	1.26
3.156072	0.014816	0.988	0.272
3.156072	0.014816	0.628	0.246
3.156072	0.014816	0.932	0.073
3.156072	0.014816	0.5	0.273
3.156072	0.014816	0.932	0.073
3.156072	0.014816	0.028	1.805
3.156072	0.014816	0.988	0.272
3.156072	0.014816	0.988	0.272
3.156072	0.014816	0.004	1.808
3.156072	0.014325	0.892	0.077
3.156072	0.014325	0.22	0.361
3.156072	0.014325	0.476	0.275
3.156072	0.014325	0.22	0.361
3.156072	0.014325	0.204	0.373
3.156072	0.014325	0.876	0.225
3.156072	0.014325	0.028	1.805
3.156072	0.014325	0.932	0.073
3.156072	0.014325	0.932	0.073
3.156072	0.014325	0.38	0.322
3.156072	0.014325	0.556	0.266
3.156072	0.014325	0.316	0.34
3.156072	0.014325	0.596	0.253
3.156072	0.014325	0.276	0.355
3.156072	0.014325	0.7	0.227
3.156072	0.014325	0.028	1.805
3.156072	0.014325	0.988	0.272
3.156072	0.014325	0.084	1.26
3.156072	0.014325	0.988	0.272
3.156072	0.014325	0.628	0.246
3.156072	0.014325	0.932	0.073
3.156072	0.014325	0.516	0.273
3.156072	0.014325	0.932	0.073
3.156072	0.014325	0.028	1.805
3.156072	0.014325	0.988	0.272
3.156072	0.014325	0.988	0.272
3.156072	0.014325	0.004	1.808
3.156072	0.013497	0.884	0.077
3.156072	0.013497	0.22	0.361
3.156072	0.013497	0.476	0.275
3.156072	0.013497	0.22	0.361
3.156072	0.013497	0.204	0.373
3.156072	0.013497	0.868	0.225
3.156072	0.013497	0.028	1.805
3.156072	0.013497	0.924	0.073
3.156072	0.013497	0.924	0.073
3.156072	0.013497	0.38	0.322
3.156072	0.013497	0.556	0.266
3.156072	0.013497	0.316	0.34
3.156072	0.013497	0.588	0.253
3.156072	0.013497	0.276	0.355
3.156072	0.013497	0.692	0.227
3.156072	0.013497	0.028	1.805
3.156072	0.013497	0.988	0.272
3.156072	0.013497	0.084	1.26
3.156072	0.013497	0.988	0.272
3.156072	0.013497	0.62	0.246
3.156072	0.013497	0.924	0.073
3.156072	0.013497	0.516	0.273
3.156072	0.013497	0.924	0.073
3.156072	0.013497	0.028	1.805
3.156072	0.013497	0.988	0.272
3.156072	0.013497	0.988	0.272
3.156072	0.013497	0.004	1.808
3.156072	0.013682	0.892	0.077
3.156072	0.013682	0.22	0.361
3.156072	0.013682	0.468	0.275
3.156072	0.013682	0.22	0.361
3.156072	0.013682	0.204	0.373
3.156072	0.013682	0.876	0.225
3.156072	0.013682	0.028	1.805
3.156072	0.013682	0.932	0.073
3.156072	0.013682	0.932	0.073
3.156072	0.013682	0.996	0.322
3.156072	0.013682	0.556	0.266
3.156072	0.013682	0.308	0.34
3.156072	0.013682	0.596	0.253
3.156072	0.013682	0.268	0.355
3.156072	0.013682	0.7	0.227
3.156072	0.013682	0.028	1.805
3.156072	0.013682	0.988	0.272
3.156072	0.013682	0.084	1.26
3.156072	0.013682	0.988	0.272
3.156072	0.013682	0.628	0.246
3.156072	0.013682	0.932	0.073
3.156072	0.013682	0.5	0.273
3.156072	0.013682	0.932	0.073
3.156072	0.013682	0.028	1.805
3.156072	0.013682	0.988	0.272
3.156072	0.013682	0.988	0.272
3.156072	0.013682	0.004	1.808
3.156072	0.013722	0.892	0.077
3.156072	0.013722	0.212	0.361
3.156072	0.013722	0.468	0.275
3.156072	0.013722	0.212	0.361
3.156072	0.013722	0.196	0.373
3.156072	0.013722	0.876	0.225
3.156072	0.013722	0.028	1.805
3.156072	0.013722	0.932	0.073
3.156072	0.013722	0.932	0.073
3.156072	0.013722	0.372	0.322
3.156072	0.013722	0.556	0.266
3.156072	0.013722	0.308	0.34
3.156072	0.013722	0.596	0.253
3.156072	0.013722	0.268	0.355
3.156072	0.013722	0.7	0.227
3.156072	0.013722	0.028	1.805
3.156072	0.013722	0.988	0.272
3.156072	0.013722	0.076	1.26
3.156072	0.013722	0.988	0.272
3.156072	0.013722	0.628	0.246
3.156072	0.013722	0.932	0.073
3.156072	0.013722	0.5	0.273
3.156072	0.013722	0.932	0.073
3.156072	0.013722	0.028	1.805
3.156072	0.013722	0.988	0.272
3.156072	0.013722	0.988	0.272
3.156072	0.013722	0.004	1.808
3.156072	0.013081	0.876	0.077
3.156072	0.013081	0.22	0.361
3.156072	0.013081	0.468	0.275
3.156072	0.013081	0.22	0.361
3.156072	0.013081	0.204	0.373
3.156072	0.013081	0.86	0.225
3.156072	0.013081	0.028	1.805
3.156072	0.013081	0.916	0.073
3.156072	0.013081	0.916	0.073
3.156072	0.013081	0.372	0.322
3.156072	0.013081	0.548	0.266
3.156072	0.013081	0.308	0.34
3.156072	0.013081	0.588	0.253
3.156072	0.013081	0.268	0.355
3.156072	0.013081	0.692	0.227
3.156072	0.013081	0.028	1.805
3.156072	0.013081	0.972	0.272
3.156072	0.013081	0.084	1.26
3.156072	0.013081	0.972	0.272
3.156072	0.013081	0.62	0.246
3.156072	0.013081	0.916	0.073
3.156072	0.013081	0.508	0.273
3.156072	0.013081	0.916	0.073
3.156072	0.013081	0.028	1.805
3.156072	0.013081	0.972	0.272
3.156072	0.013081	0.972	0.272
3.156072	0.013081	0.004	1.808
3.156072	0.014228	0.9	0.077
3.156072	0.014228	0.22	0.361
3.156072	0.014228	0.476	0.275
3.156072	0.014228	0.22	0.361
3.156072	0.014228	0.204	0.373
3.156072	0.014228	0.884	0.225
3.156072	0.014228	0.028	1.805
3.156072	0.014228	0.964	0.073
3.156072	0.014228	0.964	0.073
3.156072	0.014228	0.38	0.322
3.156072	0.014228	0.556	0.266
3.156072	0.014228	0.316	0.34
3.156072	0.014228	0.596	0.253
3.156072	0.014228	0.276	0.355
3.156072	0.014228	0.7	0.227
3.156072	0.014228	0.028	1.805
3.156072	0.014228	0.988	0.272
3.156072	0.014228	0.084	1.26
3.156072	0.014228	0.988	0.272
3.156072	0.014228	0.628	0.246
3.156072	0.014228	0.964	0.073
3.156072	0.014228	0.516	0.273
3.156072	0.014228	0.964	0.073
3.156072	0.014228	0.028	1.805
3.156072	0.014228	0.988	0.272
3.156072	0.014228	0.988	0.272
3.156072	0.014228	0.004	1.808
3.156072	0.014823	0.828	0.077
3.156072	0.014823	0.22	0.361
3.156072	0.014823	0.484	0.275
3.156072	0.014823	0.22	0.361
3.156072	0.014823	0.204	0.373
3.156072	0.014823	0.78	0.225
3.156072	0.014823	0.028	1.805
3.156072	0.014823	0.916	0.073
3.156072	0.014823	0.916	0.073
3.156072	0.014823	0.372	0.322
3.156072	0.014823	0.556	0.266
3.156072	0.014823	0.316	0.34
3.156072	0.014823	0.596	0.253
3.156072	0.014823	0.276	0.355
3.156072	0.014823	0.7	0.227
3.156072	0.014823	0.028	1.805
3.156072	0.014823	0.388	0.272
3.156072	0.014823	0.084	1.26
3.156072	0.014823	0.388	0.272
3.156072	0.014823	0.628	0.246
3.156072	0.014823	0.916	0.073
3.156072	0.014823	0.516	0.273
3.156072	0.014823	0.916	0.073
3.156072	0.014823	0.028	1.805
3.156072	0.014823	0.388	0.272
3.156072	0.014823	0.388	0.272
3.156072	0.014823	0.004	1.808
3.156072	0.013858	0.884	0.077
3.156072	0.013858	0.22	0.361
3.156072	0.013858	0.476	0.275
3.156072	0.013858	0.22	0.361
3.156072	0.013858	0.204	0.373
3.156072	0.013858	0.868	0.225
3.156072	0.013858	0.028	1.805
3.156072	0.013858	0.924	0.073
3.156072	0.013858	0.924	0.073
3.156072	0.013858	0.38	0.322
3.156072	0.013858	0.556	0.266
3.156072	0.013858	0.316	0.34
3.156072	0.013858	0.588	0.253
3.156072	0.013858	0.276	0.355
3.156072	0.013858	0.692	0.227
3.156072	0.013858	0.028	1.805
3.156072	0.013858	0.988	0.272
3.156072	0.013858	0.084	1.26
3.156072	0.013858	0.988	0.272
