SignatureTime	PrioritizationTime	APFD	TimeToDetect
3.156072	0.06076	0.428	0.023
3.156072	0.06076	0.1	0.344
3.156072	0.06076	0.596	0.028
3.156072	0.06076	0.1	0.344
3.156072	0.06076	0.084	0.347
3.156072	0.06076	0.836	0.002
3.156072	0.06076	0.332	0.32
3.156072	0.06076	0.436	0.023
3.156072	0.06076	0.436	0.023
3.156072	0.06076	0.356	0.32
3.156072	0.06076	0.908	0.023
3.156072	0.06076	0.34	0.32
3.156072	0.06076	0.66	0.023
3.156072	0.06076	0.148	0.326
3.156072	0.06076	0.668	0.002
3.156072	0.06076	0.332	0.32
3.156072	0.06076	0.46	0.068
3.156072	0.06076	0.044	0.398
3.156072	0.06076	0.46	0.068
3.156072	0.06076	0.468	0.062
3.156072	0.06076	0.436	0.023
3.156072	0.06076	0.188	0.327
3.156072	0.06076	0.436	0.023
3.156072	0.06076	0.332	0.32
3.156072	0.06076	0.46	0.068
3.156072	0.06076	0.46	0.068
3.156072	0.06076	0.14	0.332
3.156072	0.049142	0.82	0.023
3.156072	0.049142	0.092	0.344
3.156072	0.049142	0.604	0.028
3.156072	0.049142	0.092	0.344
3.156072	0.049142	0.084	0.347
3.156072	0.049142	0.956	0.002
3.156072	0.049142	0.268	0.32
3.156072	0.049142	0.436	0.023
3.156072	0.049142	0.436	0.023
3.156072	0.049142	0.34	0.32
3.156072	0.049142	0.652	0.023
3.156072	0.049142	0.308	0.32
3.156072	0.049142	0.892	0.023
3.156072	0.049142	0.148	0.326
3.156072	0.049142	0.964	0.002
3.156072	0.049142	0.268	0.32
3.156072	0.049142	0.948	0.068
3.156072	0.049142	0.044	0.398
3.156072	0.049142	0.948	0.068
3.156072	0.049142	0.46	0.062
3.156072	0.049142	0.436	0.023
3.156072	0.049142	0.188	0.327
3.156072	0.049142	0.436	0.023
3.156072	0.049142	0.268	0.32
3.156072	0.049142	0.948	0.068
3.156072	0.049142	0.948	0.068
3.156072	0.049142	0.14	0.332
3.156072	0.068383	0.884	0.023
3.156072	0.068383	0.084	0.344
3.156072	0.068383	0.628	0.028
3.156072	0.068383	0.084	0.344
3.156072	0.068383	0.092	0.347
3.156072	0.068383	0.956	0.002
3.156072	0.068383	0.204	0.32
3.156072	0.068383	0.948	0.023
3.156072	0.068383	0.948	0.023
3.156072	0.068383	0.356	0.32
3.156072	0.068383	0.924	0.023
3.156072	0.068383	0.372	0.32
3.156072	0.068383	0.804	0.023
3.156072	0.068383	0.156	0.326
3.156072	0.068383	0.972	0.002
3.156072	0.068383	0.204	0.32
3.156072	0.068383	0.436	0.068
3.156072	0.068383	0.044	0.398
3.156072	0.068383	0.436	0.068
3.156072	0.068383	0.444	0.062
3.156072	0.068383	0.948	0.023
3.156072	0.068383	0.18	0.327
3.156072	0.068383	0.948	0.023
3.156072	0.068383	0.204	0.32
3.156072	0.068383	0.436	0.068
3.156072	0.068383	0.436	0.068
3.156072	0.068383	0.148	0.332
3.156072	0.016422	0.844	0.023
3.156072	0.016422	0.084	0.344
3.156072	0.016422	0.612	0.028
3.156072	0.016422	0.084	0.344
3.156072	0.016422	0.076	0.347
3.156072	0.016422	0.956	0.002
3.156072	0.016422	0.196	0.32
3.156072	0.016422	0.436	0.023
3.156072	0.016422	0.436	0.023
3.156072	0.016422	0.348	0.32
3.156072	0.016422	0.868	0.023
3.156072	0.016422	0.324	0.32
3.156072	0.016422	0.66	0.023
3.156072	0.016422	0.148	0.326
3.156072	0.016422	0.964	0.002
3.156072	0.016422	0.196	0.32
3.156072	0.016422	0.948	0.068
3.156072	0.016422	0.036	0.398
3.156072	0.016422	0.948	0.068
3.156072	0.016422	0.46	0.062
3.156072	0.016422	0.436	0.023
3.156072	0.016422	0.18	0.327
3.156072	0.016422	0.436	0.023
3.156072	0.016422	0.196	0.32
3.156072	0.016422	0.948	0.068
3.156072	0.016422	0.948	0.068
3.156072	0.016422	0.14	0.332
3.156072	0.01012	0.844	0.023
3.156072	0.01012	0.996	0.344
3.156072	0.01012	0.604	0.028
3.156072	0.01012	0.996	0.344
3.156072	0.01012	0.084	0.347
3.156072	0.01012	0.98	0.002
3.156072	0.01012	0.196	0.32
3.156072	0.01012	0.436	0.023
3.156072	0.01012	0.436	0.023
3.156072	0.01012	0.348	0.32
3.156072	0.01012	0.884	0.023
3.156072	0.01012	0.324	0.32
3.156072	0.01012	0.652	0.023
3.156072	0.01012	0.14	0.326
3.156072	0.01012	0.964	0.002
3.156072	0.01012	0.196	0.32
3.156072	0.01012	0.956	0.068
3.156072	0.01012	0.044	0.398
3.156072	0.01012	0.956	0.068
3.156072	0.01012	0.46	0.062
3.156072	0.01012	0.436	0.023
3.156072	0.01012	0.18	0.327
3.156072	0.01012	0.436	0.023
3.156072	0.01012	0.196	0.32
3.156072	0.01012	0.956	0.068
3.156072	0.01012	0.956	0.068
3.156072	0.01012	0.156	0.332
3.156072	0.009469	0.836	0.023
3.156072	0.009469	0.092	0.344
3.156072	0.009469	0.612	0.028
3.156072	0.009469	0.092	0.344
3.156072	0.009469	0.084	0.347
3.156072	0.009469	0.916	0.002
3.156072	0.009469	0.332	0.32
3.156072	0.009469	0.436	0.023
3.156072	0.009469	0.436	0.023
3.156072	0.009469	0.348	0.32
3.156072	0.009469	0.644	0.023
3.156072	0.009469	0.34	0.32
3.156072	0.009469	0.9	0.023
3.156072	0.009469	0.148	0.326
3.156072	0.009469	0.964	0.002
3.156072	0.009469	0.332	0.32
3.156072	0.009469	0.98	0.068
3.156072	0.009469	0.044	0.398
3.156072	0.009469	0.98	0.068
3.156072	0.009469	0.46	0.062
3.156072	0.009469	0.436	0.023
3.156072	0.009469	0.188	0.327
3.156072	0.009469	0.436	0.023
3.156072	0.009469	0.332	0.32
3.156072	0.009469	0.98	0.068
3.156072	0.009469	0.98	0.068
3.156072	0.009469	0.14	0.332
3.156072	0.009765	0.868	0.023
3.156072	0.009765	0.092	0.344
3.156072	0.009765	0.572	0.028
3.156072	0.009765	0.092	0.344
3.156072	0.009765	0.084	0.347
3.156072	0.009765	0.972	0.002
3.156072	0.009765	0.212	0.32
3.156072	0.009765	0.94	0.023
3.156072	0.009765	0.94	0.023
3.156072	0.009765	0.348	0.32
3.156072	0.009765	0.932	0.023
3.156072	0.009765	0.34	0.32
3.156072	0.009765	0.772	0.023
3.156072	0.009765	0.148	0.326
3.156072	0.009765	0.964	0.002
3.156072	0.009765	0.212	0.32
3.156072	0.009765	0.436	0.068
3.156072	0.009765	0.044	0.398
3.156072	0.009765	0.436	0.068
3.156072	0.009765	0.444	0.062
3.156072	0.009765	0.94	0.023
3.156072	0.009765	0.188	0.327
3.156072	0.009765	0.94	0.023
3.156072	0.009765	0.212	0.32
3.156072	0.009765	0.436	0.068
3.156072	0.009765	0.436	0.068
3.156072	0.009765	0.14	0.332
3.156072	0.010271	0.852	0.023
3.156072	0.010271	0.092	0.344
3.156072	0.010271	0.604	0.028
3.156072	0.010271	0.092	0.344
3.156072	0.010271	0.084	0.347
3.156072	0.010271	0.94	0.002
3.156072	0.010271	0.204	0.32
3.156072	0.010271	0.444	0.023
3.156072	0.010271	0.444	0.023
3.156072	0.010271	0.364	0.32
3.156072	0.010271	0.932	0.023
3.156072	0.010271	0.348	0.32
3.156072	0.010271	0.876	0.023
3.156072	0.010271	0.148	0.326
3.156072	0.010271	0.676	0.002
3.156072	0.010271	0.204	0.32
3.156072	0.010271	0.468	0.068
3.156072	0.010271	0.044	0.398
3.156072	0.010271	0.468	0.068
3.156072	0.010271	0.476	0.062
3.156072	0.010271	0.444	0.023
3.156072	0.010271	0.98	0.327
3.156072	0.010271	0.444	0.023
3.156072	0.010271	0.204	0.32
3.156072	0.010271	0.468	0.068
3.156072	0.010271	0.468	0.068
3.156072	0.010271	0.14	0.332
3.156072	0.009323	0.844	0.023
3.156072	0.009323	0.092	0.344
3.156072	0.009323	0.58	0.028
3.156072	0.009323	0.092	0.344
3.156072	0.009323	0.084	0.347
3.156072	0.009323	0.836	0.002
3.156072	0.009323	0.212	0.32
3.156072	0.009323	0.436	0.023
3.156072	0.009323	0.436	0.023
3.156072	0.009323	0.364	0.32
3.156072	0.009323	0.644	0.023
3.156072	0.009323	0.38	0.32
3.156072	0.009323	0.812	0.023
3.156072	0.009323	0.148	0.326
3.156072	0.009323	0.884	0.002
3.156072	0.009323	0.212	0.32
3.156072	0.009323	0.98	0.068
3.156072	0.009323	0.044	0.398
3.156072	0.009323	0.98	0.068
3.156072	0.009323	0.46	0.062
3.156072	0.009323	0.436	0.023
3.156072	0.009323	0.188	0.327
3.156072	0.009323	0.436	0.023
3.156072	0.009323	0.212	0.32
3.156072	0.009323	0.98	0.068
3.156072	0.009323	0.98	0.068
3.156072	0.009323	0.18	0.332
3.156072	0.009662	0.852	0.023
3.156072	0.009662	0.092	0.344
3.156072	0.009662	0.604	0.028
3.156072	0.009662	0.092	0.344
3.156072	0.009662	0.084	0.347
3.156072	0.009662	0.948	0.002
3.156072	0.009662	0.204	0.32
3.156072	0.009662	0.436	0.023
3.156072	0.009662	0.436	0.023
3.156072	0.009662	0.356	0.32
3.156072	0.009662	0.652	0.023
3.156072	0.009662	0.324	0.32
3.156072	0.009662	0.668	0.023
3.156072	0.009662	0.156	0.326
3.156072	0.009662	0.98	0.002
3.156072	0.009662	0.204	0.32
3.156072	0.009662	0.94	0.068
3.156072	0.009662	0.044	0.398
3.156072	0.009662	0.94	0.068
3.156072	0.009662	0.46	0.062
3.156072	0.009662	0.436	0.023
3.156072	0.009662	0.18	0.327
3.156072	0.009662	0.436	0.023
3.156072	0.009662	0.204	0.32
3.156072	0.009662	0.94	0.068
3.156072	0.009662	0.94	0.068
3.156072	0.009662	0.14	0.332
3.156072	0.009701	0.812	0.023
3.156072	0.009701	0.1	0.344
3.156072	0.009701	0.572	0.028
3.156072	0.009701	0.1	0.344
3.156072	0.009701	0.084	0.347
3.156072	0.009701	0.94	0.002
3.156072	0.009701	0.212	0.32
3.156072	0.009701	0.932	0.023
3.156072	0.009701	0.932	0.023
3.156072	0.009701	0.34	0.32
3.156072	0.009701	0.804	0.023
3.156072	0.009701	0.332	0.32
3.156072	0.009701	0.86	0.023
3.156072	0.009701	0.14	0.326
3.156072	0.009701	0.996	0.002
3.156072	0.009701	0.212	0.32
3.156072	0.009701	0.436	0.068
3.156072	0.009701	0.044	0.398
3.156072	0.009701	0.436	0.068
3.156072	0.009701	0.444	0.062
3.156072	0.009701	0.932	0.023
3.156072	0.009701	0.188	0.327
3.156072	0.009701	0.932	0.023
3.156072	0.009701	0.212	0.32
3.156072	0.009701	0.436	0.068
3.156072	0.009701	0.436	0.068
3.156072	0.009701	0.164	0.332
3.156072	0.0092	0.876	0.023
3.156072	0.0092	0.092	0.344
3.156072	0.0092	0.604	0.028
3.156072	0.0092	0.092	0.344
3.156072	0.0092	0.084	0.347
3.156072	0.0092	0.956	0.002
3.156072	0.0092	0.3	0.32
3.156072	0.0092	0.436	0.023
3.156072	0.0092	0.436	0.023
3.156072	0.0092	0.348	0.32
3.156072	0.0092	0.644	0.023
3.156072	0.0092	0.332	0.32
3.156072	0.0092	0.828	0.023
3.156072	0.0092	0.14	0.326
3.156072	0.0092	0.948	0.002
3.156072	0.0092	0.3	0.32
3.156072	0.0092	0.46	0.068
3.156072	0.0092	0.044	0.398
3.156072	0.0092	0.46	0.068
3.156072	0.0092	0.468	0.062
3.156072	0.0092	0.436	0.023
3.156072	0.0092	0.188	0.327
3.156072	0.0092	0.436	0.023
3.156072	0.0092	0.3	0.32
3.156072	0.0092	0.46	0.068
3.156072	0.0092	0.46	0.068
3.156072	0.0092	0.164	0.332
3.156072	0.009681	0.876	0.023
